nohup: ignoring input
n=11 cnt=2535000 elapsed=13568s
n=11 cnt=2540000 elapsed=13589s
n=11 cnt=2545000 elapsed=13610s
n=11 cnt=2550000 elapsed=13632s
n=11 cnt=2555000 elapsed=13653s
n=11 cnt=2560000 elapsed=13674s
n=11 cnt=2565000 elapsed=13697s
n=11 cnt=2570000 elapsed=13719s
n=11 cnt=2575000 elapsed=13743s
n=11 cnt=2580000 elapsed=13765s
n=11 cnt=2585000 elapsed=13789s
n=11 cnt=2590000 elapsed=13813s
n=11 cnt=2595000 elapsed=13837s
n=11 cnt=2600000 elapsed=13859s
n=11 cnt=2605000 elapsed=13884s
n=11 cnt=2610000 elapsed=13908s
n=11 cnt=2615000 elapsed=13932s
n=11 cnt=2620000 elapsed=13958s
n=11 cnt=2625000 elapsed=13984s
n=11 cnt=2630000 elapsed=14011s
n=11 cnt=2635000 elapsed=14031s
n=11 cnt=2640000 elapsed=14051s
n=11 cnt=2645000 elapsed=14072s
n=11 cnt=2650000 elapsed=14093s
n=11 cnt=2655000 elapsed=14115s
n=11 cnt=2660000 elapsed=14137s
n=11 cnt=2665000 elapsed=14158s
n=11 cnt=2670000 elapsed=14180s
n=11 cnt=2675000 elapsed=14202s
n=11 cnt=2680000 elapsed=14224s
n=11 cnt=2685000 elapsed=14247s
n=11 cnt=2690000 elapsed=14268s
n=11 cnt=2695000 elapsed=14287s
n=11 cnt=2700000 elapsed=14307s
n=11 cnt=2705000 elapsed=14327s
n=11 cnt=2710000 elapsed=14348s
n=11 cnt=2715000 elapsed=14369s
n=11 cnt=2720000 elapsed=14390s
n=11 cnt=2725000 elapsed=14412s
n=11 cnt=2730000 elapsed=14434s
n=11 cnt=2735000 elapsed=14455s
n=11 cnt=2740000 elapsed=14477s
n=11 cnt=2745000 elapsed=14498s
n=11 cnt=2750000 elapsed=14520s
n=11 cnt=2755000 elapsed=14542s
n=11 cnt=2760000 elapsed=14564s
n=11 cnt=2765000 elapsed=14587s
n=11 cnt=2770000 elapsed=14611s
n=11 cnt=2775000 elapsed=14634s
n=11 cnt=2780000 elapsed=14657s
n=11 cnt=2785000 elapsed=14680s
n=11 cnt=2790000 elapsed=14704s
n=11 cnt=2795000 elapsed=14728s
n=11 cnt=2800000 elapsed=14752s
n=11 cnt=2805000 elapsed=14773s
n=11 cnt=2810000 elapsed=14793s
n=11 cnt=2815000 elapsed=14814s
n=11 cnt=2820000 elapsed=14836s
n=11 cnt=2825000 elapsed=14857s
n=11 cnt=2830000 elapsed=14879s
n=11 cnt=2835000 elapsed=14901s
n=11 cnt=2840000 elapsed=14922s
n=11 cnt=2845000 elapsed=14944s
n=11 cnt=2850000 elapsed=14967s
n=11 cnt=2855000 elapsed=14986s
n=11 cnt=2860000 elapsed=15005s
n=11 cnt=2865000 elapsed=15024s
n=11 cnt=2870000 elapsed=15043s
n=11 cnt=2875000 elapsed=15063s
n=11 cnt=2880000 elapsed=15083s
n=11 cnt=2885000 elapsed=15103s
n=11 cnt=2890000 elapsed=15123s
n=11 cnt=2895000 elapsed=15142s
n=11 cnt=2900000 elapsed=15163s
n=11 cnt=2905000 elapsed=15187s
n=11 cnt=2910000 elapsed=15212s
n=11 cnt=2915000 elapsed=15236s
n=11 cnt=2920000 elapsed=15263s
n=11 cnt=2925000 elapsed=15290s
n=11 cnt=2930000 elapsed=15317s
n=11 cnt=2935000 elapsed=15340s
n=11 cnt=2940000 elapsed=15363s
n=11 cnt=2945000 elapsed=15388s
n=11 cnt=2950000 elapsed=15412s
n=11 cnt=2955000 elapsed=15437s
n=11 cnt=2960000 elapsed=15464s
n=11 cnt=2965000 elapsed=15492s
n=11 cnt=2970000 elapsed=15514s
n=11 cnt=2975000 elapsed=15535s
n=11 cnt=2980000 elapsed=15556s
n=11 cnt=2985000 elapsed=15577s
n=11 cnt=2990000 elapsed=15598s
n=11 cnt=2995000 elapsed=15619s
n=11 cnt=3000000 elapsed=15641s
n=11 cnt=3005000 elapsed=15663s
n=11 cnt=3010000 elapsed=15686s
n=11 cnt=3015000 elapsed=15711s
n=11 cnt=3020000 elapsed=15736s
n=11 cnt=3025000 elapsed=15759s
n=11 cnt=3030000 elapsed=15781s
n=11 cnt=3035000 elapsed=15803s
n=11 cnt=3040000 elapsed=15823s
n=11 cnt=3045000 elapsed=15844s
n=11 cnt=3050000 elapsed=15866s
n=11 cnt=3055000 elapsed=15887s
n=11 cnt=3060000 elapsed=15908s
n=11 cnt=3065000 elapsed=15928s
n=11 cnt=3070000 elapsed=15948s
n=11 cnt=3075000 elapsed=15969s
n=11 cnt=3080000 elapsed=15990s
n=11 cnt=3085000 elapsed=16012s
n=11 cnt=3090000 elapsed=16034s
n=11 cnt=3095000 elapsed=16054s
n=11 cnt=3100000 elapsed=16075s
n=11 cnt=3105000 elapsed=16097s
n=11 cnt=3110000 elapsed=16118s
n=11 cnt=3115000 elapsed=16141s
n=11 cnt=3120000 elapsed=16164s
n=11 cnt=3125000 elapsed=16188s
n=11 cnt=3130000 elapsed=16210s
n=11 cnt=3135000 elapsed=16231s
n=11 cnt=3140000 elapsed=16251s
n=11 cnt=3145000 elapsed=16272s
n=11 cnt=3150000 elapsed=16292s
n=11 cnt=3155000 elapsed=16312s
n=11 cnt=3160000 elapsed=16333s
n=11 cnt=3165000 elapsed=16354s
n=11 cnt=3170000 elapsed=16373s
n=11 cnt=3175000 elapsed=16394s
n=11 cnt=3180000 elapsed=16414s
n=11 cnt=3185000 elapsed=16435s
n=11 cnt=3190000 elapsed=16457s
n=11 cnt=3195000 elapsed=16476s
n=11 cnt=3200000 elapsed=16497s
n=11 cnt=3205000 elapsed=16523s
n=11 cnt=3210000 elapsed=16547s
n=11 cnt=3215000 elapsed=16569s
n=11 cnt=3220000 elapsed=16590s
n=11 cnt=3225000 elapsed=16611s
n=11 cnt=3230000 elapsed=16632s
n=11 cnt=3235000 elapsed=16653s
n=11 cnt=3240000 elapsed=16675s
n=11 cnt=3245000 elapsed=16700s
n=11 cnt=3250000 elapsed=16724s
n=11 cnt=3255000 elapsed=16747s
n=11 cnt=3260000 elapsed=16771s
n=11 cnt=3265000 elapsed=16792s
n=11 cnt=3270000 elapsed=16814s
n=11 cnt=3275000 elapsed=16835s
n=11 cnt=3280000 elapsed=16855s
n=11 cnt=3285000 elapsed=16876s
n=11 cnt=3290000 elapsed=16898s
n=11 cnt=3295000 elapsed=16921s
n=11 cnt=3300000 elapsed=16944s
n=11 cnt=3305000 elapsed=16968s
n=11 cnt=3310000 elapsed=16992s
n=11 cnt=3315000 elapsed=17015s
n=11 cnt=3320000 elapsed=17040s
n=11 cnt=3325000 elapsed=17061s
n=11 cnt=3330000 elapsed=17082s
n=11 cnt=3335000 elapsed=17103s
n=11 cnt=3340000 elapsed=17123s
n=11 cnt=3345000 elapsed=17142s
n=11 cnt=3350000 elapsed=17163s
n=11 cnt=3355000 elapsed=17182s
n=11 cnt=3360000 elapsed=17201s
