GRAPH 1811 orientations=77642520 profiles=530 ss=458 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1819 orientations=77917548 profiles=534 ss=462 tau_skip=4 safe=6 checks=62 packed=62 cand=0
GRAPH 1827 orientations=78146580 profiles=542 ss=464 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1835 orientations=78502596 profiles=546 ss=468 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1843 orientations=78809676 profiles=550 ss=472 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1851 orientations=79105770 profiles=556 ss=478 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1859 orientations=79416006 profiles=564 ss=486 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1867 orientations=79738206 profiles=568 ss=490 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1875 orientations=80071266 profiles=568 ss=490 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1883 orientations=80393562 profiles=568 ss=490 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1891 orientations=80749410 profiles=572 ss=494 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1899 orientations=81058470 profiles=572 ss=494 tau_skip=4 safe=6 checks=68 packed=68 cand=0
GRAPH 1907 orientations=81279582 profiles=578 ss=494 tau_skip=10 safe=6 checks=68 packed=68 cand=0
GRAPH 1915 orientations=81600012 profiles=578 ss=494 tau_skip=10 safe=6 checks=68 packed=68 cand=0
GRAPH 1923 orientations=81897900 profiles=578 ss=494 tau_skip=10 safe=6 checks=68 packed=68 cand=0
GRAPH 1931 orientations=82230126 profiles=584 ss=500 tau_skip=10 safe=6 checks=68 packed=68 cand=0
GRAPH 1939 orientations=82556172 profiles=586 ss=502 tau_skip=10 safe=6 checks=68 packed=68 cand=0
GRAPH 1947 orientations=82895136 profiles=598 ss=512 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1955 orientations=83210802 profiles=602 ss=516 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1963 orientations=83488356 profiles=602 ss=516 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1971 orientations=83790282 profiles=602 ss=516 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1979 orientations=84101628 profiles=606 ss=520 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1987 orientations=84384612 profiles=606 ss=520 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 1995 orientations=84716478 profiles=612 ss=526 tau_skip=10 safe=6 checks=70 packed=70 cand=0
GRAPH 2003 orientations=85021416 profiles=626 ss=538 tau_skip=10 safe=6 checks=72 packed=72 cand=0
GRAPH 2011 orientations=85284426 profiles=626 ss=538 tau_skip=10 safe=6 checks=72 packed=72 cand=0
